iter	Passed	Remaining
0	300	240436
1	383	153078
2	436	115986
3	493	98195
4	550	87520
5	608	80534
6	659	74733
7	714	70719
8	765	67264
9	813	64264
10	858	61597
11	907	59579
12	962	58292
13	1010	56742
14	1061	55556
15	1111	54445
16	1185	54583
17	1259	54711
18	1326	54514
19	1386	54080
20	1458	54088
21	1514	53570
22	1577	53297
23	1628	52640
24	1677	52012
25	1731	51551
26	1784	51081
27	1836	50625
28	1902	50571
29	1961	50347
30	2026	50275
31	2077	49867
32	2133	49586
33	2184	49222
34	2236	48873
35	2290	48610
36	2365	48777
37	2416	48447
38	2464	48087
39	2519	47876
40	2576	47700
41	2631	47483
42	2682	47232
43	2741	47099
44	2786	46748
45	2831	46412
46	2877	46101
47	2925	45826
48	2972	45557
49	3013	45206
50	3061	44963
51	3111	44758
52	3158	44521
53	3205	44280
54	3253	44074
55	3317	44079
56	3363	43837
57	3412	43651
58	3457	43426
59	3502	43193
60	3552	43037
61	3607	42935
62	3653	42740
63	3704	42606
64	3752	42427
65	3805	42320
66	3858	42209
67	3907	42063
68	3961	41967
69	4012	41844
70	4058	41674
71	4102	41476
72	4150	41331
73	4198	41191
74	4247	41062
75	4304	41005
76	4359	40933
77	4417	40889
78	4488	40967
79	4547	40924
80	4606	40892
81	4667	40872
82	4721	40784
83	4775	40705
84	4835	40673
85	4886	40567
86	4934	40440
87	4987	40350
88	5039	40258
89	5092	40176
90	5148	40115
91	5203	40042
92	5249	39908
93	5302	39823
94	5350	39709
95	5405	39641
96	5461	39578
97	5514	39502
98	5559	39368
99	5619	39333
100	5686	39357
101	5806	39735
102	5900	39925
103	5990	40090
104	6043	40001
105	6098	39926
106	6172	39976
107	6237	39967
108	6327	40112
109	6416	40251
110	6496	40325
111	6552	40251
112	6633	40328
113	6710	40382
114	6769	40322
115	6826	40253
116	6875	40133
117	6925	40028
118	6981	39955
119	7030	39839
120	7078	39722
121	7123	39589
122	7168	39453
123	7224	39383
124	7272	39269
125	7331	39218
126	7388	39154
127	7442	39073
128	7496	38995
129	7544	38883
130	7594	38784
131	7639	38659
132	7694	38585
133	7738	38461
134	7807	38459
135	7877	38459
136	7938	38419
137	7999	38374
138	8060	38330
139	8125	38306
140	8181	38238
141	8231	38142
142	8295	38110
143	8346	38021
144	8398	37936
145	8444	37824
146	8502	37768
147	8557	37700
148	8627	37696
149	8698	37692
150	8750	37611
151	8810	37558
152	8859	37462
153	8910	37377
154	8968	37321
155	9031	37285
156	9098	37262
157	9153	37193
158	9224	37188
159	9278	37114
160	9400	37308
161	9474	37314
162	9532	37251
163	9596	37213
164	9648	37130
165	9719	37121
166	9808	37177
167	9884	37186
168	9954	37166
169	10010	37098
170	10060	37005
171	10109	36911
172	10152	36795
173	10201	36702
174	10247	365971175	10301	36525
176	10353	36440
177	10406	36364
178	10464	36305
179	10538	36299
180	10610	36285
181	10682	36273
182	10743	36223
183	10799	36154
184	10871	36138
185	10932	36090
186	11002	36066
187	11071	36042
188	11138	36007
189	11207	35981
190	11272	35940
191	11330	35880
192	11387	35813
193	11446	35755
194	11503	35690
195	11565	35641
196	11626	35587
197	11685	35528
198	11744	35470
199	11800	35401
200	11858	35340
201	11924	35302
202	11975	35218
203	12044	35188
204	12099	35119
205	12149	35034
206	12201	34954
207	12250	34866
208	12296	34770
209	12349	34696
210	12392	34593
211	12440	34506
212	12488	34417
213	12542	34344
214	12590	34257
215	12639	34172
216	12686	34083
217	12733	33994
218	12785	33918
219	12837	33843
220	12886	33761
221	12938	33686
222	12990	33613
223	13038	33527
224	13082	33433
225	13127	33342
226	13173	33252
227	13219	33165
228	13270	33088
229	13313	32994
230	13361	32913
231	13405	32820
232	13461	32758
233	13522	32708
234	13571	32628
235	13618	32545
236	13669	32472
237	13724	32409
238	13781	32348
239	13827	32264
240	13875	32184
241	13922	32101
242	13966	32013
243	14018	31944
244	14072	31878
245	14124	31809
246	14175	31736
247	14226	31665
248	14271	31580
249	14330	31526
250	14376	31445
251	14425	31368
252	14475	31296
253	14530	31234
254	14585	31173
255	14639	31109
256	14687	31031
257	14737	30959
258	14784	30881
259	14840	30823
260	14897	30764
261	14944	30686
262	14994	30616
263	15046	30549
264	15094	30473
265	15142	30399
266	15192	30328
267	15243	30259
268	15293	30188
269	15337	30107
270	15394	30049
271	15448	29989
272	15498	29918
273	15560	29871
274	15616	29812
275	15669	29749
276	15723	29687
277	15775	29621
278	15819	29541
279	15867	29468
280	15919	29402
281	15974	29343
282	16030	29285
283	16077	29211
284	16130	29148
285	16178	29075
286	16225	29002
287	16269	28923
288	16317	28852
